OBJECTID,presence,DECID,MARSH,SSW,STUDY,ANTHRO,PROB_1,PREDICTED,DEV_RESID
1,1,0.639593899,0.18274112,0.121827409,187.5735931,0,0.733555432,1,0.787212948
2,1,0.309644669,0.157360405,0,413.5321045,0.690355301,0.387174018,0,1.377592849
3,1,0,0.477157354,0.076142132,79.01908112,0.284263968,0.901148244,1,0.456257607
4,1,0.593908608,0.126903549,0,72.38848114,0,0.832444395,1,0.60562175
5,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
6,1,0,0.680203021,0,42.10483551,0.152284265,0.967192617,1,0.258292909
7,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
8,1,0,0.269035518,0,77.55279541,0.796954334,0.621913018,1,0.974633304
9,1,0,0.111675128,0,107.5719147,0.020304568,0.922330607,1,0.402123225
10,1,0.167512685,0.015228426,0.055837564,81.53874207,0.467005074,0.612227798,1,0.99060673
11,1,0,0.771573603,0,53.51499176,0.106598988,0.975862456,1,0.221059397
12,1,0,0,0,986.3356323,1,0.111573035,0,2.094314151
13,1,0.111675128,0.416243643,0,136.6690674,0.842639565,0.596469132,1,1.01659017
14,1,0,0.248730958,0,65.44815063,0.573604047,0.759663809,1,0.74145708
15,1,0.269035518,0.218274117,0,43.38154984,0.04568528,0.905547386,1,0.445456332
16,1,0,0.771573603,0,53.51499176,0.106598988,0.975862456,1,0.221059397
17,1,0,0.228426397,0,60.71276474,0.492385775,0.795979441,1,0.675547068
18,1,0.99492383,0.213197976,0,78.41384125,0.005076142,0.745381033,1,0.766628643
19,1,0.406091362,0.32994923,0,54.14637375,0.020304568,0.910818473,1,0.432230639
20,1,0.284263968,0.086294413,0,67.22213745,0.543147206,0.600385579,1,1.010131871
21,1,0,0.31979695,0,74.03701019,0.751269042,0.679126329,1,0.879713723
22,1,0.66497463,0,0,67.76800537,0.131979689,0.69368319,1,0.855265948
23,1,0,0.081218272,0,96.44088745,0.060913704,0.909148881,1,0.436454839
24,1,0,0.05076142,0,122.2445297,0.472081214,0.721338861,1,0.808265135
